stock_number,upc,catalog_number,display_name,website_name,source_categories,size,finish,price,price_label,availability,is_discontinued,url,image,secondary_image,features,safe_working_load_range,collection,web_type,self_closing,keyed,pin_type,technical_documents
N109-020,886780017632,V1261,Automatic Gate Latch,"1261 Automatic Gate Latch, Matte Black",Gate Latches & Locks,,Matte Black,25.39,National Hardware list price,Active,False,https://www.national-hardware.com/p/1261-automatic-gate-latch?model=N109-020,https://images.national-hardware.com/is/image/nh/nh_109020_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109020_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v29_v1261.pdf
N184-853,038613184862,BPB21,Automatic Gate Latch,"21 Automatic Gate Latches, Zinc Plated",Gate Latches & Locks,,Zinc Plated,8.08,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-automatic-gate-latches?model=N184-853,https://images.national-hardware.com/is/image/nh/nh_184853_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_184853_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_bpb21_n184-861.pdf
N184-861,038613184862,BPB21,Automatic Gate Latch,"21 Automatic Gate Latches, Black",Gate Latches & Locks,,Black,9.85,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-automatic-gate-latches?model=N184-861,https://images.national-hardware.com/is/image/nh/nh_184861_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_184861_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_bpb21_n184-861.pdf
N262-105,038613184862,V21,Automatic Gate Latch,"21 Automatic Gate Latches, White",Gate Latches & Locks,,White,12.58,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-automatic-gate-latches?model=N262-105,https://images.national-hardware.com/is/image/nh/nh_262105_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_262105_ub?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_bpb21_n184-861.pdf
N262-121,038613184862,V21,Automatic Gate Latch,"21 Automatic Gate Latches, Galvanized",Gate Latches & Locks,,Galvanized,24.17,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-automatic-gate-latches?model=N262-121,https://images.national-hardware.com/is/image/nh/nh_262121_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_262121_ub?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_bpb21_n184-861.pdf
N342-600,038613342606,V29,Automatic Gate Latch,"29 Automatic Gate Latches, Stainless Steel",Gate Latches & Locks,,Stainless Steel,24.63,National Hardware list price,Active,False,https://www.national-hardware.com/p/29-automatic-gate-latches?model=N342-600,https://images.national-hardware.com/is/image/nh/snh_342600_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342600_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v29_v1261.pdf
N130-559,038613130555,293BC,Bolts Hook,"293 Bolt Hook, Zinc Plated, 1/2"" x 6""",Gate Parts & Accessories,"1/2"" x 6""",Zinc Plated,11.16,National Hardware list price,Active,False,https://www.national-hardware.com/p/293-bolt-hook?model=N130-559,https://images.national-hardware.com/is/image/nh/nh_130559_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_130559_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_293bc_n130-559.pdf
N152-058,038613152052,V836,Cane Bolt,"836 Cane Bolts, Zinc Plated, 1/2"" x 12""",Gate Latches & Locks,"1/2"" x 12""",Zinc Plated,18.64,National Hardware list price,Active,False,https://www.national-hardware.com/p/836-cane-bolts?model=N152-058,https://images.national-hardware.com/is/image/nh/snh_152058_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_152058_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Cane & Sliding Bolts,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_836_n152-058.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v836_n152-058.pdf
N165-902,038613152052,V836,Cane Bolt,"836 Cane Bolts, Black, 1/2"" x 12""",Gate Latches & Locks,"1/2"" x 12""",Black,21.48,National Hardware list price,Active,False,https://www.national-hardware.com/p/836-cane-bolts?model=N165-902,https://images.national-hardware.com/is/image/nh/snh_165902_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_165902_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Cane & Sliding Bolts,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_836_n152-058.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v836_n152-058.pdf
N177-188,038613177185,V835,Cane Bolt,"835 Cane Bolt, Black, 1/2"" x 18""",Gate Latches & Locks,"1/2"" x 18""",Black,29.82,National Hardware list price,Active,False,https://www.national-hardware.com/p/835-cane-bolt?model=N177-188,https://images.national-hardware.com/is/image/nh/snh_177188_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_177188_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Cane & Sliding Bolts,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v835_n177-188.pdf
N177-196,038613177185,V835,Cane Bolt,"835 Cane Bolt, Zinc Plated, 1/2"" x 18""",Gate Latches & Locks,"1/2"" x 18""",Zinc Plated,27.36,National Hardware list price,Active,False,https://www.national-hardware.com/p/835-cane-bolt?model=N177-196,https://images.national-hardware.com/is/image/nh/snh_177196_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_177188_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Cane & Sliding Bolts,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v835_n177-188.pdf
N348-516,038613348516,V810,Cane Bolt,"810 Cane Bolts, Stainless Steel, 1/2"" x 12""",Gate Latches & Locks,"1/2"" x 12""",Stainless Steel,44.87,National Hardware list price,Active,False,https://www.national-hardware.com/p/810-cane-bolts?model=N348-516,https://images.national-hardware.com/is/image/nh/snh_348516_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_348516-iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,Gate_Latches-Locks Cane & Sliding Bolts,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_836_n348-516.pdf
N109-300,886780022261,V8418,Decorative Butterfly Gate Kit,"8418 Decorative Butterfly Gate Kit, Black",Gate Kits,,Black,53.13,National Hardware list price,Active,False,https://www.national-hardware.com/p/8418-decorative-butterfly-gate-kit?model=N109-300,https://images.national-hardware.com/is/image/nh/snh_109300_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109300_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v8418_n109-300.pdf
N109-218,886780022254,SPB8443,Decorative Butterfly Hinges,"8443 Decorative Butterfly Hinges, Black",Gate Hinges,,Black,32.04,National Hardware list price,Active,False,https://www.national-hardware.com/p/8443-decorative-butterfly-hinges?model=N109-218,https://images.national-hardware.com/is/image/nh/snh_109218_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109218_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,Fixed,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_spb8443_n109-218.pdf
N343-467,038613343467,DPV878,Decorative Gate Kit,"878 Decorative Gate Kits, Black",Gate Kits,,Black,59.34,National Hardware list price,Active,False,https://www.national-hardware.com/p/878-decorative-gate-kits?model=N343-467,https://images.national-hardware.com/is/image/nh/nh_343467_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_343467_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,
N166-002,886780029413,1112,Decorative Knob Pull,"1112 Decorative Knob Pull, Black, 2.87""",Gate Parts & Accessories,"2.87""",Black,18.35,National Hardware list price,Active,False,https://www.national-hardware.com/p/1112-decorative-knob-pull?model=N166-002,https://images.national-hardware.com/is/image/nh/nh_166002-c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166002_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/sn12060.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/pf_is_001-112_00789-1500.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1112_n166-002.pdf
N166-012,886780029512,1118,Decorative T Hinge,"1118 Decorative T Hinge, Black, 10""",Gate Hinges,"10""",Black,22.18,National Hardware list price,Active,False,https://www.national-hardware.com/p/1118-decorative-t-hinge?model=N166-012,https://images.national-hardware.com/is/image/nh/nh_166012_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166012_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/sn12070.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1118_n166-012.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/pf_is_001-118_23636-0700.pdf
N165-498,038613165496,V850,Door & Gate Spring,"850 Door & Gate Springs, Black, 11""",Gate Springs,"11""",Black,31.86,National Hardware list price,Active,False,https://www.national-hardware.com/p/850-door-gate-springs?model=N165-498,https://images.national-hardware.com/is/image/nh/snh_165498_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_v850.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v850_n165-498.pdf
N342-725,038613342729,V851,Door & Gate Spring,"851 Door & Gate Springs, Stainless Steel, 11""",Gate Springs,"11""",Stainless Steel,75.25,National Hardware list price,Active,False,https://www.national-hardware.com/p/851-door-gate-springs?model=N342-725,https://images.national-hardware.com/is/image/nh/nh_342725_c1?$nhwProductThumbs$,,lifespan|outdoor|stainlesssteel|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_v850.pdf
N342-741,038613165496,V850,Door & Gate Spring,"850 Door & Gate Springs, White, 11""",Gate Springs,"11""",White,29.04,National Hardware list price,Active,False,https://www.national-hardware.com/p/850-door-gate-springs?model=N342-741,https://images.national-hardware.com/is/image/nh/nh_342741_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_v850.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v850_n165-498.pdf
N156-042,038613156043,V13B,Door/Gate Latch,"13 DoorGate Latches, Zinc Plated",Gate Latches & Locks,,Zinc Plated,30.11,National Hardware list price,Active,False,https://www.national-hardware.com/p/13-doorgate-latches?model=N156-042,https://images.national-hardware.com/is/image/nh/snh_156042_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_156042_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v13b_n156-042.pdf
N342-592,038613342590,V279,Extra Heavy Auto-Close Gate Hinges Set,"279 Extra Heavy Auto-Close Gate Hinge Set, Black, 3-1/2""",Gate Hinges,"3-1/2""",Black,61.73,National Hardware list price,Active,False,https://www.national-hardware.com/p/279-extra-heavy-auto-close-gate-hinge-set?model=N342-592,https://images.national-hardware.com/is/image/nh/snh_342592_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342592_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,
N214-106,038613900264,V4870,Extra Heavy Gate Hinge,Extra Heavy Gate Hinges,Gate Hinges,"3-5/8""",Satin Nickel,17.9,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/4870-extra-heavy-gate-hinges?model=N214-106,https://images.national-hardware.com/is/image/nh/snh_214106_c1?$nhwProductThumbs$,,lifespan|outdoor,41 - 50 lb,,,False,False,,
N214-113,038613900264,V4870,Extra Heavy Gate Hinge,"4870 Extra Heavy Gate Hinges, Black, 3-5/8""",Gate Hinges,"3-5/8""",Black,27.47,National Hardware list price,Active,False,https://www.national-hardware.com/p/4870-extra-heavy-gate-hinges?model=N214-113,https://images.national-hardware.com/is/image/nh/nh_214113_c1?$nhwProductThumbs$,,lifespan|outdoor,41 - 50 lb,,,False,False,,
N214-120,038613900264,V4870,Extra Heavy Gate Hinge,"4870 Extra Heavy Gate Hinges, Galvanized, 3-5/8""",Gate Hinges,"3-5/8""",Galvanized,28.76,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/4870-extra-heavy-gate-hinges?model=N214-120,https://images.national-hardware.com/is/image/nh/nh_214120_c1?$nhwProductThumbs$,,lifespan|outdoor,41 - 50 lb,,,False,False,,
N223-867,038613223868,287BC,Extra Heavy Gate Hinge,"287 Extra Heavy Gate Hinges, Black, 3-1/2""",Gate Hinges,"3-1/2""",Black,12.85,National Hardware list price,Active,False,https://www.national-hardware.com/p/287-extra-heavy-gate-hinges?model=N223-867,https://images.national-hardware.com/is/image/nh/nh_223867_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_287bc_n223-867.pdf
N236-570,038613223868,DP287BC,Extra Heavy Gate Hinge,"287 Extra Heavy Gate Hinges, Zinc Plated, 3-1/2""",Gate Hinges,"3-1/2""",Zinc Plated,7.27,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/287-extra-heavy-gate-hinges?model=N236-570,https://images.national-hardware.com/is/image/nh/nh_236570_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_236570_ub?$nhwProductThumbs$,lifespan|outdoor|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_287bc_n223-867.pdf
N259-283,038613223868,MP287BC,Extra Heavy Gate Hinge,"287 Extra Heavy Gate Hinges, Galvanized, 3-1/2""",Gate Hinges,"3-1/2""",Galvanized,23.65,National Hardware list price,Active,False,https://www.national-hardware.com/p/287-extra-heavy-gate-hinges?model=N259-283,https://images.national-hardware.com/is/image/nh/nh_259283_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_259283_ub?$nhwProductThumbs$,lifespan|outdoor|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_287bc_n223-867.pdf
N192-217,886780022292,856,Gate Caster,"856 Gate Caster, Zinc Plated",Gate Parts & Accessories,,Zinc Plated,37.06,National Hardware list price,Active,False,https://www.national-hardware.com/p/856-gate-caster?model=N192-217,https://images.national-hardware.com/is/image/nh/nh_192217_c2?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_192217_iu?$nhwProductThumbs$,lifespan|outdoor,101 - 200 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_856_n192-217.pdf
N122-168,038613122161,V2102,Gate Hook,"2102 Gate Hooks, Zinc Plated, 4""",Gate Latches & Locks,"4""",Zinc Plated,4.77,National Hardware list price,Active,False,https://www.national-hardware.com/p/2102-gate-hooks?model=N122-168,https://images.national-hardware.com/is/image/nh/nh_122168_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_122168_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_2102_n122-168.pdf
N122-358,038613122352,V2106,Gate Hook,"2106 Gate Hooks, Zinc Plated, 6""",Gate Parts & Accessories,"6""",Zinc Plated,8.93,National Hardware list price,Active,False,https://www.national-hardware.com/p/2106-gate-hooks?model=N122-358,https://images.national-hardware.com/is/image/nh/nh_122358_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_122358_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,
N109-015,886780017762,V867,Gate Kit,"867 Gate Kit, Black, 8""",Gate Kits,"8""",Black,71.62,National Hardware list price,Active,False,https://www.national-hardware.com/p/867-gate-kit?model=N109-015,https://images.national-hardware.com/is/image/nh/nh_109015_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109015_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,31 - 40 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_867_n109-015.pdf
N109-025,886780017755,V1299,Gate Kit,"1299 Gate Kit, Black, 8""",Gate Kits,"8""",Black,44.29,National Hardware list price,Active,False,https://www.national-hardware.com/p/1299-gate-kit?model=N109-025,https://images.national-hardware.com/is/image/nh/snh_109025_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109025_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/snh_td_cd1299.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/snh_td_v1299.pdf
N166-008,886780029475,1114,Gate Kit,"1114 Gate Kit, Galvanized",Gate Kits,,Galvanized,51.29,National Hardware list price,Active,False,https://www.national-hardware.com/p/1114-gate-kit?model=N166-008,https://images.national-hardware.com/is/image/nh/nh_166008_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166008_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1114-n166-008.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/sn12066.pdf
N243-899,038613243897,DPV845,Gate Kit,"845 Gate Kits, Black",Gate Kits,,Black,48.73,National Hardware list price,Active,False,https://www.national-hardware.com/p/845-gate-kits?model=N243-899,https://images.national-hardware.com/is/image/nh/snh_243899_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,,
N343-434,038613343436,DPV875,Gate Kit,"875 Gate Kits, Stainless Steel",Gate Kits,,Stainless Steel,89.49,National Hardware list price,Active,False,https://www.national-hardware.com/p/875-gate-kits?model=N343-434,https://images.national-hardware.com/is/image/nh/nh_343434_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_343434_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,,False,False,,
N109-009,886780017533,V853,Gate Latch Cable,"853 Gate Latch Cable, Stainless Steel",Gate Latches & Locks,,Stainless Steel,7.2,National Hardware list price,Active,False,https://www.national-hardware.com/p/853-gate-latch-cable?model=N109-009,https://images.national-hardware.com/is/image/nh/nh_109009_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109009_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v853_n109-009.pdf
N109-070,886780023725,V973,Gate Pull,"973 Gate Pull, Black, 10 3/4""",Gate Parts & Accessories,"10 3/4""",Black,26.06,National Hardware list price,Active,False,https://www.national-hardware.com/p/973-gate-pull?model=N109-070,https://images.national-hardware.com/is/image/nh/snh_109070_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_109070_v1?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_973_n109-070.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_v973_n109-070.pdf
N109-314,886780023749,,Gate Suite,"8430 Gate Suite, Black",Gate Kits,,Black,61.52,National Hardware list price,Active,False,https://www.national-hardware.com/p/8430-gate-suite?model=N109-314,https://images.national-hardware.com/is/image/nh/snh_109314_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_109314_v1?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_8430_n109-314.pdf
N109-316,886780023756,,Gate Suite,"8432 Gate Suite, Black",Gate Kits,,Black,61.52,National Hardware list price,Active,False,https://www.national-hardware.com/p/8432-gate-suite?model=N109-316,https://images.national-hardware.com/is/image/nh/snh_109316_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_109316_v1?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_v8432_n109-316.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_8432_n109-316.pdf
N109-050,886780023701,,Gate Thumb Latch,"1394 Gate Thumb Latch, Black",Gate Latches & Locks,,Black,48.58,National Hardware list price,Active,False,https://www.national-hardware.com/p/1394-gate-thumb-latch?model=N109-050,https://images.national-hardware.com/is/image/nh/snh_109050_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_109050_v1?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_v1394_n109-050_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1394_n109-050.pdf
